club_id,club_name,club_type,district,zone,country,state,city,latitude,longitude,charter_date,status,meeting_location,meeting_day,meeting_time,public_email,website,instagram,facebook,linkedin,youtube,description,last_updated
RC00011,Bengaluru Downtown,community,3192,4,India,Karnataka,Bengaluru,12.987124,77.562586,2022-07-01,inactive,,Sunday,18:30,,,https://instagram.com/bengalurudowntown,,,,,2026-08-01
RC00012,Bengaluru Central 12,community,3192,4,India,Karnataka,Bengaluru,12.965309,77.567506,2018-07-01,active,Bengaluru Community Hall,Sunday,17:00,,,https://instagram.com/bengalurucentral12,,,,,2026-08-01
RC00013,Jawaharlal Nehru University Bengaluru,university,3192,4,India,Karnataka,Bengaluru,13.00852,77.562081,2014-07-01,unknown,Bengaluru Community Hall,Friday,,jawaharlal-nehru-univers@example.org,,https://instagram.com/jawaharlalnehruunivers,,,,,2026-08-01
RC00014,Bengaluru Metropolitan,community,3192,4,India,Karnataka,Bengaluru,12.989214,77.625082,2017-07-01,active,Bengaluru Community Hall,,,bengaluru-metropolitan@example.org,https://example.org/bengaluru-metropolitan,,,,,,2026-08-01
RC00015,LUMS Bengaluru,university,3192,4,India,Karnataka,Bengaluru,12.934512,77.583068,2023-07-01,active,Bengaluru Community Hall,Wednesday,,lums-bengaluru@example.org,,https://instagram.com/lumsbengaluru,,,,,2026-08-01
RC00016,Bengaluru Summit,community,3192,4,India,Karnataka,Bengaluru,12.958877,77.624755,2024-07-01,active,,Saturday,10:00,bengaluru-summit@example.org,,https://instagram.com/bengalurusummit,,,,,2026-08-01
RC00017,Bengaluru Oasis,community,3192,4,India,Karnataka,Bengaluru,12.937473,77.580669,,inactive,Bengaluru Community Hall,,18:30,bengaluru-oasis@example.org,,https://instagram.com/bengaluruoasis,,,,"A community-based Rotaract club serving Bengaluru, India.",2026-08-01
RC00018,Manipal Academy Bengaluru,university,3192,4,India,Karnataka,Bengaluru,12.931742,77.58809,2024-07-01,active,Bengaluru Community Hall,,17:00,,,,,,,"A university-based Rotaract club serving Bengaluru, India.",2026-08-01
RC00019,University of Dhaka Bengaluru,university,3192,4,India,Karnataka,Bengaluru,12.971751,77.59309,2014-07-01,active,Bengaluru Community Hall,,18:30,,,,,,,"A university-based Rotaract club serving Bengaluru, India.",2026-08-01
RC00020,Jawaharlal Nehru University Bengaluru 20,university,3192,4,India,Karnataka,Bengaluru,13.000699,77.588957,,active,,Friday,18:30,jawaharlal-nehru-univers@example.org,,https://instagram.com/jawaharlalnehruunivers,,https://linkedin.com/company/jawaharlal-nehru-univers,,,2026-08-01
RC00021,Bengaluru Crescent,community,3192,4,India,Karnataka,Bengaluru,12.956066,77.582064,,unknown,,Sunday,,bengaluru-crescent@example.org,,,,,,,2026-08-01
RC00022,Bengaluru Sunrise 22,community,3192,4,India,Karnataka,Bengaluru,,,,unknown,Bengaluru Community Hall,,,,https://example.org/bengaluru-sunrise-22,,,https://linkedin.com/company/bengaluru-sunrise-22,,"A community-based Rotaract club serving Bengaluru, India.",2026-08-01
RC00023,University of Bengaluru,university,3192,4,India,Karnataka,Bengaluru,12.95618,77.604525,2017-07-01,active,Bengaluru Community Hall,Saturday,,university-of-bengaluru@example.org,,https://instagram.com/universityofbengaluru,https://facebook.com/university-of-bengaluru,,,,2026-08-01
RC00024,Tribhuvan University Bengaluru 24,university,3192,4,India,Karnataka,Bengaluru,12.998462,77.590166,2007-07-01,inactive,,,,,,,https://facebook.com/tribhuvan-university-ben,,,,2026-08-01
RC00025,Bengaluru Central 25,community,3192,4,India,Karnataka,Bengaluru,12.950388,77.605117,,active,,,19:00,,,,https://facebook.com/bengaluru-central-25,,,"A community-based Rotaract club serving Bengaluru, India.",2026-08-01
RC00026,Bengaluru Unity,community,3192,4,India,Karnataka,Bengaluru,13.001169,77.631115,,active,Bengaluru Community Hall,Friday,,bengaluru-unity@example.org,https://example.org/bengaluru-unity,,,,,,2026-08-01
RC00027,St. Joseph's College Bengaluru,university,3192,4,India,Karnataka,Bengaluru,13.005046,77.634114,2018-07-01,active,Bengaluru Community Hall,Friday,10:00,,https://example.org/st-joseph-s-college-beng,https://instagram.com/stjosephscollegebeng,,,,"A university-based Rotaract club serving Bengaluru, India.",2026-08-01
RC00028,Bengaluru Summit 28,community,3192,4,India,Karnataka,Bengaluru,12.959351,77.617167,2014-07-01,active,Bengaluru Community Hall,,,bengaluru-summit-28@example.org,https://example.org/bengaluru-summit-28,https://instagram.com/bengalurusummit28,,,,,2026-08-01
RC00029,Bengaluru Oasis 29,community,3192,4,India,Karnataka,Bengaluru,12.938643,77.579058,2006-07-01,active,,Sunday,10:00,bengaluru-oasis-29@example.org,https://example.org/bengaluru-oasis-29,https://instagram.com/bengaluruoasis29,https://facebook.com/bengaluru-oasis-29,,,"A community-based Rotaract club serving Bengaluru, India.",2026-08-01
RC00030,Presidency College Bengaluru,university,3192,4,India,Karnataka,Bengaluru,13.003553,77.615608,2006-07-01,unknown,Bengaluru Community Hall,Friday,,presidency-college-benga@example.org,,,,,,"A university-based Rotaract club serving Bengaluru, India.",2026-08-01
RC00031,University of Dhaka Bengaluru 31,university,3192,4,India,Karnataka,Bengaluru,,,2022-07-01,active,,Friday,17:00,university-of-dhaka-beng@example.org,,,,,,,2026-08-01
RC00032,Bengaluru Pearl,community,3192,4,India,Karnataka,Bengaluru,12.945757,77.57835,,active,,,,bengaluru-pearl@example.org,,,https://facebook.com/bengaluru-pearl,,,,2026-08-01
RC00033,Bengaluru Riverside,community,3192,4,India,Karnataka,Bengaluru,12.998861,77.59526,2006-07-01,active,Bengaluru Community Hall,Sunday,17:00,,https://example.org/bengaluru-riverside,https://instagram.com/bengalururiverside,https://facebook.com/bengaluru-riverside,,https://youtube.com/@bengalururiverside,"A community-based Rotaract club serving Bengaluru, India.",2026-08-01
RC00034,Bengaluru Central 34,community,3192,4,India,Karnataka,Bengaluru,12.994613,77.626534,2020-07-01,active,Bengaluru Community Hall,,,bengaluru-central-34@example.org,https://example.org/bengaluru-central-34,https://instagram.com/bengalurucentral34,,,https://youtube.com/@bengalurucentral34,"A community-based Rotaract club serving Bengaluru, India.",2026-08-01
RC00035,Bengaluru Crescent 35,community,3192,4,India,Karnataka,Bengaluru,12.962157,77.591631,2017-07-01,active,Bengaluru Community Hall,Sunday,18:30,,,,https://facebook.com/bengaluru-crescent-35,https://linkedin.com/company/bengaluru-crescent-35,,,2026-08-01
RC00036,Bengaluru Summit 36,community,3192,4,India,Karnataka,Bengaluru,12.977239,77.633457,2020-07-01,inactive,Bengaluru Community Hall,Sunday,19:00,bengaluru-summit-36@example.org,,,,,,"A community-based Rotaract club serving Bengaluru, India.",2026-08-01
RC00037,Bengaluru Sunrise 37,community,3192,4,India,Karnataka,Bengaluru,13.006364,77.565623,2007-07-01,active,Bengaluru Community Hall,Friday,18:30,bengaluru-sunrise-37@example.org,https://example.org/bengaluru-sunrise-37,,,https://linkedin.com/company/bengaluru-sunrise-37,,"A community-based Rotaract club serving Bengaluru, India.",2026-08-01
RC00038,Bengaluru Central 38,community,3192,4,India,Karnataka,Bengaluru,12.981217,77.585611,2024-07-01,active,Bengaluru Community Hall,Sunday,,bengaluru-central-38@example.org,https://example.org/bengaluru-central-38,https://instagram.com/bengalurucentral38,https://facebook.com/bengaluru-central-38,,,,2026-08-01
RC00039,NUST Bengaluru 39,university,3192,4,India,Karnataka,Bengaluru,12.96575,77.588678,,active,Bengaluru Community Hall,Wednesday,17:00,nust-bengaluru-39@example.org,,https://instagram.com/nustbengaluru39,,,,,2026-08-01
RC00040,Bengaluru Lakeview,community,3192,4,India,Karnataka,Bengaluru,12.956019,77.570598,2012-07-01,active,,,,bengaluru-lakeview@example.org,,,,,,,2026-08-01
RC00041,Presidency College Bengaluru 41,university,3192,4,India,Karnataka,Bengaluru,12.950268,77.619812,,unknown,,,,presidency-college-benga@example.org,,https://instagram.com/presidencycollegebenga,,,,"A university-based Rotaract club serving Bengaluru, India.",2026-08-01
RC00042,Amrita Vishwa Vidyapeetham Bengaluru,university,3192,4,India,Karnataka,Bengaluru,12.978843,77.606672,2019-07-01,active,,,18:30,,https://example.org/amrita-vishwa-vidyapeeth,,https://facebook.com/amrita-vishwa-vidyapeeth,,,,2026-08-01
RC00043,Christ University Bengaluru 43,university,3192,4,India,Karnataka,Bengaluru,12.984029,77.604535,,active,,,17:00,christ-university-bengal@example.org,https://example.org/christ-university-bengal,,,https://linkedin.com/company/christ-university-bengal,,,2026-08-01
RC00044,Bengaluru Pearl 44,community,3192,4,India,Karnataka,Bengaluru,13.004194,77.5972,,active,Bengaluru Community Hall,Saturday,,bengaluru-pearl-44@example.org,,https://instagram.com/bengalurupearl44,,,https://youtube.com/@bengalurupearl44,"A community-based Rotaract club serving Bengaluru, India.",2026-08-01
RC00045,Bengaluru Crescent 45,community,3192,4,India,Karnataka,Bengaluru,12.990614,77.617505,,unknown,Bengaluru Community Hall,Saturday,,,,,,,,"A community-based Rotaract club serving Bengaluru, India.",2026-08-01
RC00046,Mumbai,community,3141,3,India,Maharashtra,Mumbai,19.054583,72.869413,2010-07-01,active,Mumbai Community Hall,,,mumbai@example.org,,,,,,,2026-08-01
RC00047,NIT Mumbai,university,3141,3,India,Maharashtra,Mumbai,19.063809,72.896301,2006-07-01,active,Mumbai Community Hall,Sunday,,nit-mumbai@example.org,,,https://facebook.com/nit-mumbai,,,,2026-08-01
RC00048,University of Colombo Mumbai,university,3141,3,India,Maharashtra,Mumbai,19.113819,72.890664,,inactive,,Friday,18:30,university-of-colombo-mu@example.org,,,,,,,2026-08-01
RC00049,Mumbai Capitol,community,3141,3,India,Maharashtra,Mumbai,19.06854,72.840689,2024-07-01,active,Mumbai Community Hall,Saturday,,mumbai-capitol@example.org,,,,https://linkedin.com/company/mumbai-capitol,,"A community-based Rotaract club serving Mumbai, India.",2026-08-01
RC00050,Mumbai Oasis,community,3141,3,India,Maharashtra,Mumbai,19.07066,72.83792,,active,Mumbai Community Hall,,19:00,,https://example.org/mumbai-oasis,,https://facebook.com/mumbai-oasis,https://linkedin.com/company/mumbai-oasis,,,2026-08-01
RC00051,Mumbai Beacon,community,3141,3,India,Maharashtra,Mumbai,19.062081,72.876458,,active,,Wednesday,18:30,mumbai-beacon@example.org,,https://instagram.com/mumbaibeacon,,,,"A community-based Rotaract club serving Mumbai, India.",2026-08-01
RC00052,Mumbai Crescent,community,3141,3,India,Maharashtra,Mumbai,19.080823,72.856029,2005-07-01,active,Mumbai Community Hall,Sunday,18:30,mumbai-crescent@example.org,,https://instagram.com/mumbaicrescent,https://facebook.com/mumbai-crescent,,,,2026-08-01
RC00053,Mumbai Garden City,community,3141,3,India,Maharashtra,Mumbai,,,,active,,Sunday,,,https://example.org/mumbai-garden-city,,,,https://youtube.com/@mumbaigardencity,"A community-based Rotaract club serving Mumbai, India.",2026-08-01
RC00054,Manipal Academy Mumbai,university,3141,3,India,Maharashtra,Mumbai,19.06958,72.904269,2007-07-01,unknown,,Saturday,17:00,manipal-academy-mumbai@example.org,,,https://facebook.com/manipal-academy-mumbai,,,"A university-based Rotaract club serving Mumbai, India.",2026-08-01
RC00055,University of Colombo Mumbai 10,university,3141,3,India,Maharashtra,Mumbai,19.065079,72.894543,2010-07-01,unknown,,,18:30,university-of-colombo-mu@example.org,,,,,https://youtube.com/@universityofcolombomu,"A university-based Rotaract club serving Mumbai, India.",2026-08-01
RC00056,Mumbai Phoenix,community,3141,3,India,Maharashtra,Mumbai,19.081186,72.847326,,active,Mumbai Community Hall,,,,https://example.org/mumbai-phoenix,,https://facebook.com/mumbai-phoenix,https://linkedin.com/company/mumbai-phoenix,,,2026-08-01
RC00057,NUST Mumbai,university,3141,3,India,Maharashtra,Mumbai,19.085859,72.900592,2015-07-01,inactive,,Wednesday,19:00,,https://example.org/nust-mumbai,,,,,"A university-based Rotaract club serving Mumbai, India.",2026-08-01
RC00058,LUMS Mumbai,university,3141,3,India,Maharashtra,Mumbai,19.072499,72.896902,,active,Mumbai Community Hall,Sunday,,lums-mumbai@example.org,,,https://facebook.com/lums-mumbai,,,"A university-based Rotaract club serving Mumbai, India.",2026-08-01
RC00059,Mumbai Pearl,community,3141,3,India,Maharashtra,Mumbai,19.100322,72.878334,2016-07-01,active,Mumbai Community Hall,,,mumbai-pearl@example.org,,,https://facebook.com/mumbai-pearl,,,,2026-08-01
RC00060,Mumbai Riverside,community,3141,3,India,Maharashtra,Mumbai,19.052368,72.841695,2007-07-01,active,Mumbai Community Hall,Sunday,,mumbai-riverside@example.org,,,,,https://youtube.com/@mumbairiverside,"A community-based Rotaract club serving Mumbai, India.",2026-08-01
RC00061,IIT Mumbai,university,3141,3,India,Maharashtra,Mumbai,19.054926,72.898976,,active,,,10:00,iit-mumbai@example.org,,,,,,"A university-based Rotaract club serving Mumbai, India.",2026-08-01
RC00062,NIT Mumbai 17,university,3141,3,India,Maharashtra,Mumbai,19.052031,72.874066,2024-07-01,unknown,,Friday,,,,https://instagram.com/nitmumbai17,,,,"A university-based Rotaract club serving Mumbai, India.",2026-08-01
RC00063,LUMS Mumbai 18,university,3141,3,India,Maharashtra,Mumbai,19.069434,72.914295,2014-07-01,active,Mumbai Community Hall,,,,https://example.org/lums-mumbai-18,,https://facebook.com/lums-mumbai-18,,,"A university-based Rotaract club serving Mumbai, India.",2026-08-01
RC00064,Presidency College Mumbai,university,3141,3,India,Maharashtra,Mumbai,19.072017,72.898873,,unknown,,Sunday,,presidency-college-mumba@example.org,,,https://facebook.com/presidency-college-mumba,,,,2026-08-01
RC00065,Presidency College Mumbai 20,university,3141,3,India,Maharashtra,Mumbai,19.092399,72.886994,2023-07-01,active,Mumbai Community Hall,Wednesday,,,,,,https://linkedin.com/company/presidency-college-mumba,,"A university-based Rotaract club serving Mumbai, India.",2026-08-01
RC00066,Mumbai Horizon,community,3141,3,India,Maharashtra,Mumbai,19.087785,72.916825,2016-07-01,inactive,Mumbai Community Hall,,,mumbai-horizon@example.org,,,,,,"A community-based Rotaract club serving Mumbai, India.",2026-08-01
RC00067,Mumbai Beacon 22,community,3141,3,India,Maharashtra,Mumbai,19.105802,72.849658,2011-07-01,inactive,Mumbai Community Hall,,18:30,mumbai-beacon-22@example.org,https://example.org/mumbai-beacon-22,https://instagram.com/mumbaibeacon22,https://facebook.com/mumbai-beacon-22,,,"A community-based Rotaract club serving Mumbai, India.",2026-08-01
RC00068,Mumbai Sunrise,community,3141,3,India,Maharashtra,Mumbai,19.068317,72.911232,2014-07-01,active,,Friday,17:00,mumbai-sunrise@example.org,https://example.org/mumbai-sunrise,https://instagram.com/mumbaisunrise,https://facebook.com/mumbai-sunrise,,,"A community-based Rotaract club serving Mumbai, India.",2026-08-01
RC00069,Mumbai Lakeview,community,3141,3,India,Maharashtra,Mumbai,19.085351,72.900263,2006-07-01,inactive,Mumbai Community Hall,,19:00,mumbai-lakeview@example.org,https://example.org/mumbai-lakeview,,,,,,2026-08-01
RC00070,Symbiosis Mumbai,university,3141,3,India,Maharashtra,Mumbai,,,,unknown,Mumbai Community Hall,,,symbiosis-mumbai@example.org,https://example.org/symbiosis-mumbai,https://instagram.com/symbiosismumbai,,,,"A university-based Rotaract club serving Mumbai, India.",2026-08-01
RC00071,Mumbai Crescent 26,community,3141,3,India,Maharashtra,Mumbai,19.089088,72.887273,2011-07-01,active,Mumbai Community Hall,,,mumbai-crescent-26@example.org,,,https://facebook.com/mumbai-crescent-26,,,"A community-based Rotaract club serving Mumbai, India.",2026-08-01
RC00072,Mumbai Frontier,community,3141,3,India,Maharashtra,Mumbai,19.084137,72.90832,2017-07-01,active,,Friday,19:00,mumbai-frontier@example.org,,https://instagram.com/mumbaifrontier,https://facebook.com/mumbai-frontier,,,"A community-based Rotaract club serving Mumbai, India.",2026-08-01
RC00073,NIT Mumbai 28,university,3141,3,India,Maharashtra,Mumbai,19.044075,72.87322,2007-07-01,active,Mumbai Community Hall,Sunday,18:30,nit-mumbai-28@example.org,,https://instagram.com/nitmumbai28,https://facebook.com/nit-mumbai-28,,,,2026-08-01
RC00074,Jawaharlal Nehru University Mumbai,university,3141,3,India,Maharashtra,Mumbai,19.083805,72.910343,2007-07-01,active,Mumbai Community Hall,Sunday,,,,,,https://linkedin.com/company/jawaharlal-nehru-univers,https://youtube.com/@jawaharlalnehruunivers,,2026-08-01
RC00075,Mumbai Sunrise 30,community,3141,3,India,Maharashtra,Mumbai,19.071892,72.870447,2022-07-01,active,Mumbai Community Hall,,,mumbai-sunrise-30@example.org,,https://instagram.com/mumbaisunrise30,,,,"A community-based Rotaract club serving Mumbai, India.",2026-08-01
RC00076,Mumbai Garden City 31,community,3141,3,India,Maharashtra,Mumbai,19.114779,72.869525,,unknown,,,17:00,mumbai-garden-city-31@example.org,,,https://facebook.com/mumbai-garden-city-31,,,"A community-based Rotaract club serving Mumbai, India.",2026-08-01
RC00077,Mumbai Summit,community,3141,3,India,Maharashtra,Mumbai,19.103353,72.886111,,active,Mumbai Community Hall,,19:00,mumbai-summit@example.org,,https://instagram.com/mumbaisummit,,,,"A community-based Rotaract club serving Mumbai, India.",2026-08-01
RC00078,Mumbai Frontier 33,community,3141,3,India,Maharashtra,Mumbai,19.072578,72.858556,2024-07-01,active,Mumbai Community Hall,Wednesday,10:00,mumbai-frontier-33@example.org,https://example.org/mumbai-frontier-33,,,,,,2026-08-01
RC00079,Symbiosis Mumbai 34,university,3141,3,India,Maharashtra,Mumbai,19.068805,72.85163,2011-07-01,active,Mumbai Community Hall,,17:00,,https://example.org/symbiosis-mumbai-34,,,,,"A university-based Rotaract club serving Mumbai, India.",2026-08-01
RC00080,Amrita Vishwa Vidyapeetham Mumbai,university,3141,3,India,Maharashtra,Mumbai,19.113206,72.845097,2012-07-01,active,,Wednesday,,amrita-vishwa-vidyapeeth@example.org,,,,,,"A university-based Rotaract club serving Mumbai, India.",2026-08-01
RC00081,Mumbai Heritage,community,3141,3,India,Maharashtra,Mumbai,19.106731,72.902383,,inactive,,,19:00,,https://example.org/mumbai-heritage,https://instagram.com/mumbaiheritage,,,,,2026-08-01
RC00082,Mumbai Phoenix 37,community,3141,3,India,Maharashtra,Mumbai,19.114306,72.856976,2005-07-01,active,,,19:00,,,https://instagram.com/mumbaiphoenix37,,https://linkedin.com/company/mumbai-phoenix-37,,"A community-based Rotaract club serving Mumbai, India.",2026-08-01
RC00083,BITS Mumbai,university,3141,3,India,Maharashtra,Mumbai,,,2011-07-01,active,Mumbai Community Hall,Saturday,18:30,,,https://instagram.com/bitsmumbai,,,,,2026-08-01
RC00084,NUST Mumbai 39,university,3141,3,India,Maharashtra,Mumbai,19.038273,72.854842,,active,,Sunday,18:30,,https://example.org/nust-mumbai-39,,,,https://youtube.com/@nustmumbai39,,2026-08-01
RC00085,Mumbai Horizon 40,community,3141,3,India,Maharashtra,Mumbai,19.039822,72.885193,2024-07-01,unknown,Mumbai Community Hall,,10:00,mumbai-horizon-40@example.org,,https://instagram.com/mumbaihorizon40,,,,,2026-08-01
RC00086,BITS Delhi,university,3011,2,India,Delhi,Delhi,,,2005-07-01,active,,Sunday,,bits-delhi@example.org,,,,,,"A university-based Rotaract club serving Delhi, India.",2026-08-01
RC00087,Delhi Central,community,3011,2,India,Delhi,Delhi,28.600421,77.230212,2012-07-01,active,,Wednesday,,delhi-central@example.org,,,,,,"A community-based Rotaract club serving Delhi, India.",2026-08-01
RC00088,BITS Delhi 3,university,3011,2,India,Delhi,Delhi,28.581637,77.204827,2016-07-01,active,Delhi Community Hall,,17:00,bits-delhi-3@example.org,,,,,,,2026-08-01
RC00089,Delhi Metropolitan,community,3011,2,India,Delhi,Delhi,28.605064,77.215145,2021-07-01,inactive,Delhi Community Hall,,,,,https://instagram.com/delhimetropolitan,,,,"A community-based Rotaract club serving Delhi, India.",2026-08-01
RC00090,Delhi Harmony,community,3011,2,India,Delhi,Delhi,28.638024,77.185354,,active,Delhi Community Hall,Wednesday,18:30,,https://example.org/delhi-harmony,https://instagram.com/delhiharmony,https://facebook.com/delhi-harmony,,,"A community-based Rotaract club serving Delhi, India.",2026-08-01
RC00091,Delhi Phoenix,community,3011,2,India,Delhi,Delhi,28.616211,77.23543,2009-07-01,active,Delhi Community Hall,,18:30,,,,,,,,2026-08-01
RC00092,NUST Delhi,university,3011,2,India,Delhi,Delhi,28.592231,77.192298,,active,Delhi Community Hall,Saturday,19:00,nust-delhi@example.org,,https://instagram.com/nustdelhi,,,,"A university-based Rotaract club serving Delhi, India.",2026-08-01
RC00093,Presidency College Delhi,university,3011,2,India,Delhi,Delhi,28.630451,77.178647,,active,,,17:00,presidency-college-delhi@example.org,,,,https://linkedin.com/company/presidency-college-delhi,,,2026-08-01
RC00094,Delhi Garden City,community,3011,2,India,Delhi,Delhi,28.652215,77.237046,2007-07-01,active,,,,,,https://instagram.com/delhigardencity,https://facebook.com/delhi-garden-city,,,"A community-based Rotaract club serving Delhi, India.",2026-08-01
RC00095,Delhi Heritage,community,3011,2,India,Delhi,Delhi,28.625597,77.245249,,active,,,,delhi-heritage@example.org,,,https://facebook.com/delhi-heritage,,,"A community-based Rotaract club serving Delhi, India.",2026-08-01
RC00096,IIT Delhi,university,3011,2,India,Delhi,Delhi,,,2020-07-01,active,Delhi Community Hall,,10:00,,https://example.org/iit-delhi,https://instagram.com/iitdelhi,https://facebook.com/iit-delhi,https://linkedin.com/company/iit-delhi,,"A university-based Rotaract club serving Delhi, India.",2026-08-01
RC00097,LUMS Delhi,university,3011,2,India,Delhi,Delhi,28.603071,77.216238,2005-07-01,active,,,,lums-delhi@example.org,,,,,,"A university-based Rotaract club serving Delhi, India.",2026-08-01
RC00098,University of Dhaka Delhi,university,3011,2,India,Delhi,Delhi,28.586359,77.181049,2010-07-01,active,Delhi Community Hall,,,university-of-dhaka-delh@example.org,,,,,,,2026-08-01
RC00099,Amrita Vishwa Vidyapeetham Delhi,university,3011,2,India,Delhi,Delhi,28.648824,77.175659,,inactive,,Sunday,18:30,amrita-vishwa-vidyapeeth@example.org,,,https://facebook.com/amrita-vishwa-vidyapeeth,,,"A university-based Rotaract club serving Delhi, India.",2026-08-01
RC00100,Delhi Crescent,community,3011,2,India,Delhi,Delhi,28.614109,77.18442,2016-07-01,active,Delhi Community Hall,Friday,17:00,delhi-crescent@example.org,,,,,,"A community-based Rotaract club serving Delhi, India.",2026-08-01
RC00101,Symbiosis Delhi,university,3011,2,India,Delhi,Delhi,28.602254,77.246968,2024-07-01,active,Delhi Community Hall,Saturday,17:00,,https://example.org/symbiosis-delhi,https://instagram.com/symbiosisdelhi,https://facebook.com/symbiosis-delhi,,,"A university-based Rotaract club serving Delhi, India.",2026-08-01
RC00102,Delhi Central 17,community,3011,2,India,Delhi,Delhi,28.617767,77.237383,2020-07-01,active,,Sunday,,delhi-central-17@example.org,,https://instagram.com/delhicentral17,https://facebook.com/delhi-central-17,,,"A community-based Rotaract club serving Delhi, India.",2026-08-01
RC00103,Amrita Vishwa Vidyapeetham Delhi 18,university,3011,2,India,Delhi,Delhi,28.595553,77.228782,2015-07-01,active,Delhi Community Hall,Wednesday,,amrita-vishwa-vidyapeeth@example.org,,https://instagram.com/amritavishwavidyapeeth,,,,,2026-08-01
RC00104,University of Colombo Delhi,university,3011,2,India,Delhi,Delhi,28.589981,77.221236,2016-07-01,active,,Sunday,10:00,university-of-colombo-de@example.org,,https://instagram.com/universityofcolombode,,,,"A university-based Rotaract club serving Delhi, India.",2026-08-01
RC00105,Delhi Capitol,community,3011,2,India,Delhi,Delhi,28.640075,77.244786,2011-07-01,unknown,Delhi Community Hall,Friday,,delhi-capitol@example.org,,,,,,"A community-based Rotaract club serving Delhi, India.",2026-08-01
RC00106,Delhi Riverside,community,3011,2,India,Delhi,Delhi,28.578232,77.224788,2012-07-01,active,,Sunday,17:00,delhi-riverside@example.org,,,https://facebook.com/delhi-riverside,,,"A community-based Rotaract club serving Delhi, India.",2026-08-01
RC00107,Jawaharlal Nehru University Delhi,university,3011,2,India,Delhi,Delhi,28.608067,77.246078,2018-07-01,unknown,Delhi Community Hall,Sunday,17:00,,,,,,,,2026-08-01
RC00108,Delhi Heritage 23,community,3011,2,India,Delhi,Delhi,28.581584,77.224644,,active,Delhi Community Hall,Sunday,10:00,delhi-heritage-23@example.org,,https://instagram.com/delhiheritage23,,,,,2026-08-01
RC00109,LUMS Delhi 24,university,3011,2,India,Delhi,Delhi,28.629883,77.172592,2018-07-01,active,,Saturday,17:00,lums-delhi-24@example.org,https://example.org/lums-delhi-24,https://instagram.com/lumsdelhi24,,,,"A university-based Rotaract club serving Delhi, India.",2026-08-01
RC00110,University of Colombo Delhi 25,university,3011,2,India,Delhi,Delhi,28.598235,77.195747,,inactive,Delhi Community Hall,,18:30,university-of-colombo-de@example.org,,,,,,,2026-08-01
RC00111,Symbiosis Delhi 26,university,3011,2,India,Delhi,Delhi,28.58791,77.224158,2011-07-01,unknown,,,17:00,symbiosis-delhi-26@example.org,,,,,,,2026-08-01
